Energy consumption time period,Usage (kilowatt-hours),Cost (Canadian Dollar)
2020/06/17 21:00 to 2020/06/17 22:00,3.65,0.47
2020/06/17 22:00 to 2020/06/17 23:00,3.42,0.44
2020/06/17 23:00 to 2020/06/18 00:00,3.59,0.46
2020/06/18 00:00 to 2020/06/18 01:00,3.13,0.4
2020/06/18 01:00 to 2020/06/18 02:00,1.93,0.25
2020/06/18 02:00 to 2020/06/18 03:00,1.39,0.18
2020/06/18 03:00 to 2020/06/18 04:00,1.55,0.2
2020/06/18 04:00 to 2020/06/18 05:00,1.6,0.2
2020/06/18 05:00 to 2020/06/18 06:00,1.37,0.18
2020/06/18 06:00 to 2020/06/18 07:00,1.33,0.17
2020/06/18 07:00 to 2020/06/18 08:00,1.45,0.19
2020/06/18 08:00 to 2020/06/18 09:00,1.73,0.22
2020/06/18 09:00 to 2020/06/18 10:00,2.85,0.36
2020/06/18 10:00 to 2020/06/18 11:00,2.74,0.35
2020/06/18 11:00 to 2020/06/18 12:00,2.69,0.34
2020/06/18 12:00 to 2020/06/18 13:00,4.2,0.54
2020/06/18 13:00 to 2020/06/18 14:00,3.38,0.43
2020/06/18 14:00 to 2020/06/18 15:00,3.41,0.44
2020/06/18 15:00 to 2020/06/18 16:00,3.42,0.44
2020/06/18 16:00 to 2020/06/18 17:00,3.45,0.44
2020/06/18 17:00 to 2020/06/18 18:00,4.24,0.54
2020/06/18 18:00 to 2020/06/18 19:00,5.15,0.66
2020/06/18 19:00 to 2020/06/18 20:00,5.39,0.69
2020/06/18 20:00 to 2020/06/18 21:00,3.63,0.46
2020/06/18 21:00 to 2020/06/18 22:00,3.7,0.47
2020/06/18 22:00 to 2020/06/18 23:00,3.55,0.45
2020/06/18 23:00 to 2020/06/19 00:00,3.47,0.44
2020/06/19 00:00 to 2020/06/19 01:00,3.75,0.48
2020/06/19 01:00 to 2020/06/19 02:00,3.74,0.48
2020/06/19 02:00 to 2020/06/19 03:00,2.91,0.37
2020/06/19 03:00 to 2020/06/19 04:00,1.93,0.25
2020/06/19 04:00 to 2020/06/19 05:00,1.37,0.18
2020/06/19 05:00 to 2020/06/19 06:00,1.39,0.18
2020/06/19 06:00 to 2020/06/19 07:00,1.84,0.24
2020/06/19 07:00 to 2020/06/19 08:00,1.98,0.25
2020/06/19 08:00 to 2020/06/19 09:00,1.97,0.25
2020/06/19 09:00 to 2020/06/19 10:00,1.91,0.24
2020/06/19 10:00 to 2020/06/19 11:00,2.8,0.36
2020/06/19 11:00 to 2020/06/19 12:00,3.02,0.39
2020/06/19 12:00 to 2020/06/19 13:00,2.89,0.37
2020/06/19 13:00 to 2020/06/19 14:00,3.35,0.43
2020/06/19 14:00 to 2020/06/19 15:00,3.56,0.46
2020/06/19 15:00 to 2020/06/19 16:00,4.16,0.53
2020/06/19 16:00 to 2020/06/19 17:00,4.38,0.56
2020/06/19 17:00 to 2020/06/19 18:00,4.94,0.63
2020/06/19 18:00 to 2020/06/19 19:00,4.56,0.58
2020/06/19 19:00 to 2020/06/19 20:00,3.5,0.45
2020/06/19 20:00 to 2020/06/19 21:00,3.53,0.45
2020/06/19 21:00 to 2020/06/19 22:00,3.79,0.49
2020/06/19 22:00 to 2020/06/19 23:00,12.19,1.56
2020/06/19 23:00 to 2020/06/20 00:00,3.7,0.47
2020/06/20 00:00 to 2020/06/20 01:00,3.33,0.22
2020/06/20 01:00 to 2020/06/20 02:00,2.28,0.15
2020/06/20 02:00 to 2020/06/20 03:00,2.42,0.16
2020/06/20 03:00 to 2020/06/20 04:00,1.98,0.13
2020/06/20 04:00 to 2020/06/20 05:00,1.5,0.1
2020/06/20 05:00 to 2020/06/20 06:00,1.34,0.09
2020/06/20 06:00 to 2020/06/20 07:00,1.31,0.09
2020/06/20 07:00 to 2020/06/20 08:00,1.54,0.1
2020/06/20 08:00 to 2020/06/20 09:00,2.18,0.14
2020/06/20 09:00 to 2020/06/20 10:00,2.8,0.18
2020/06/20 10:00 to 2020/06/20 11:00,3.09,0.2
2020/06/20 11:00 to 2020/06/20 12:00,2.9,0.19
2020/06/20 12:00 to 2020/06/20 13:00,3.7,0.24
2020/06/20 13:00 to 2020/06/20 14:00,3.17,0.21
2020/06/20 14:00 to 2020/06/20 15:00,3.57,0.23
2020/06/20 15:00 to 2020/06/20 16:00,5.44,0.35
2020/06/20 16:00 to 2020/06/20 17:00,5.47,0.36
2020/06/20 17:00 to 2020/06/20 18:00,4.93,0.32
2020/06/20 18:00 to 2020/06/20 19:00,4.37,0.28
2020/06/20 19:00 to 2020/06/20 20:00,4.22,0.27
2020/06/20 20:00 to 2020/06/20 21:00,3.65,0.24
2020/06/20 21:00 to 2020/06/20 22:00,3.74,0.24
2020/06/20 22:00 to 2020/06/20 23:00,3.52,0.23
2020/06/20 23:00 to 2020/06/21 00:00,3.44,0.22
2020/06/21 00:00 to 2020/06/21 01:00,3.79,0.25
2020/06/21 01:00 to 2020/06/21 02:00,3.63,0.24
2020/06/21 02:00 to 2020/06/21 03:00,3.41,0.22
2020/06/21 03:00 to 2020/06/21 04:00,3.25,0.21
2020/06/21 04:00 to 2020/06/21 05:00,2.78,0.18
2020/06/21 05:00 to 2020/06/21 06:00,2.12,0.14
2020/06/21 06:00 to 2020/06/21 07:00,1.46,0.09
2020/06/21 07:00 to 2020/06/21 08:00,1.58,0.1
2020/06/21 08:00 to 2020/06/21 09:00,2.68,0.17
2020/06/21 09:00 to 2020/06/21 10:00,3,0.2
2020/06/21 10:00 to 2020/06/21 11:00,4.17,0.27
2020/06/21 11:00 to 2020/06/21 12:00,3.25,0.21
2020/06/21 12:00 to 2020/06/21 13:00,3.35,0.22
2020/06/21 13:00 to 2020/06/21 14:00,3.64,0.24
2020/06/21 14:00 to 2020/06/21 15:00,3.18,0.21
2020/06/21 15:00 to 2020/06/21 16:00,3.19,0.21
2020/06/21 16:00 to 2020/06/21 17:00,3.58,0.23
2020/06/21 17:00 to 2020/06/21 18:00,4.24,0.28
2020/06/21 18:00 to 2020/06/21 19:00,3.37,0.22
2020/06/21 19:00 to 2020/06/21 20:00,3.16,0.21
2020/06/21 20:00 to 2020/06/21 21:00,3.12,0.2
2020/06/21 21:00 to 2020/06/21 22:00,3.52,0.23
2020/06/21 22:00 to 2020/06/21 23:00,3.38,0.22
2020/06/21 23:00 to 2020/06/22 00:00,3.59,0.23
2020/06/22 00:00 to 2020/06/22 01:00,3.4,0.44
2020/06/22 01:00 to 2020/06/22 02:00,2.06,0.26
2020/06/22 02:00 to 2020/06/22 03:00,2.13,0.27
2020/06/22 03:00 to 2020/06/22 04:00,2.35,0.3
2020/06/22 04:00 to 2020/06/22 05:00,2.1,0.27
2020/06/22 05:00 to 2020/06/22 06:00,1.42,0.18
2020/06/22 06:00 to 2020/06/22 07:00,1.7,0.22
2020/06/22 07:00 to 2020/06/22 08:00,2.39,0.31
2020/06/22 08:00 to 2020/06/22 09:00,1.94,0.25
2020/06/22 09:00 to 2020/06/22 10:00,1.6,0.2
2020/06/22 10:00 to 2020/06/22 11:00,2.95,0.38
2020/06/22 11:00 to 2020/06/22 12:00,3.77,0.48
2020/06/22 12:00 to 2020/06/22 13:00,3.88,0.5
2020/06/22 13:00 to 2020/06/22 14:00,3.31,0.42
2020/06/22 14:00 to 2020/06/22 15:00,3.4,0.44
2020/06/22 15:00 to 2020/06/22 16:00,3.53,0.45
2020/06/22 16:00 to 2020/06/22 17:00,3.64,0.47
2020/06/22 17:00 to 2020/06/22 18:00,3.36,0.43
2020/06/22 18:00 to 2020/06/22 19:00,3.51,0.45
2020/06/22 19:00 to 2020/06/22 20:00,3.34,0.43
2020/06/22 20:00 to 2020/06/22 21:00,3.26,0.42
2020/06/22 21:00 to 2020/06/22 22:00,3.6,0.46
2020/06/22 22:00 to 2020/06/22 23:00,3.58,0.46
2020/06/22 23:00 to 2020/06/23 00:00,3.61,0.46
2020/06/23 00:00 to 2020/06/23 01:00,3.35,0.43
2020/06/23 01:00 to 2020/06/23 02:00,2.83,0.36
2020/06/23 02:00 to 2020/06/23 03:00,2.39,0.31
2020/06/23 03:00 to 2020/06/23 04:00,2.03,0.26
2020/06/23 04:00 to 2020/06/23 05:00,1.93,0.25
2020/06/23 05:00 to 2020/06/23 06:00,1.86,0.24
2020/06/23 06:00 to 2020/06/23 07:00,1.93,0.25
2020/06/23 07:00 to 2020/06/23 08:00,2.2,0.28
2020/06/23 08:00 to 2020/06/23 09:00,1.54,0.2
2020/06/23 09:00 to 2020/06/23 10:00,1.75,0.22
2020/06/23 10:00 to 2020/06/23 11:00,1.82,0.23
2020/06/23 11:00 to 2020/06/23 12:00,2.2,0.28
2020/06/23 12:00 to 2020/06/23 13:00,3.59,0.46
2020/06/23 13:00 to 2020/06/23 14:00,3.19,0.41
2020/06/23 14:00 to 2020/06/23 15:00,3.26,0.42
2020/06/23 15:00 to 2020/06/23 16:00,3.36,0.43
2020/06/23 16:00 to 2020/06/23 17:00,3.34,0.43
2020/06/23 17:00 to 2020/06/23 18:00,4.3,0.55
2020/06/23 18:00 to 2020/06/23 19:00,3.57,0.46
2020/06/23 19:00 to 2020/06/23 20:00,3.4,0.44
2020/06/23 20:00 to 2020/06/23 21:00,3.2,0.41
2020/06/23 21:00 to 2020/06/23 22:00,2.72,0.35
2020/06/23 22:00 to 2020/06/23 23:00,17.7,2.27
2020/06/23 23:00 to 2020/06/24 00:00,2.64,0.34
2020/06/24 00:00 to 2020/06/24 01:00,2.54,0.33
2020/06/24 01:00 to 2020/06/24 02:00,2.82,0.36
2020/06/24 02:00 to 2020/06/24 03:00,1.93,0.25
2020/06/24 03:00 to 2020/06/24 04:00,1.93,0.25
2020/06/24 04:00 to 2020/06/24 05:00,1.55,0.2
2020/06/24 05:00 to 2020/06/24 06:00,1.45,0.19
2020/06/24 06:00 to 2020/06/24 07:00,1.49,0.19
2020/06/24 07:00 to 2020/06/24 08:00,1.93,0.25
2020/06/24 08:00 to 2020/06/24 09:00,1.86,0.24
2020/06/24 09:00 to 2020/06/24 10:00,2.08,0.27
2020/06/24 10:00 to 2020/06/24 11:00,2.37,0.3
2020/06/24 11:00 to 2020/06/24 12:00,3.01,0.39
2020/06/24 12:00 to 2020/06/24 13:00,3.5,0.45
2020/06/24 13:00 to 2020/06/24 14:00,4.12,0.53
2020/06/24 14:00 to 2020/06/24 15:00,3.23,0.41
2020/06/24 15:00 to 2020/06/24 16:00,4.36,0.56
2020/06/24 16:00 to 2020/06/24 17:00,4.27,0.55
2020/06/24 17:00 to 2020/06/24 18:00,6.99,0.89
2020/06/24 18:00 to 2020/06/24 19:00,5.07,0.65
2020/06/24 19:00 to 2020/06/24 20:00,5.46,0.7
2020/06/24 20:00 to 2020/06/24 21:00,2.12,0.27
2020/06/24 21:00 to 2020/06/24 22:00,2.23,0.29
2020/06/24 22:00 to 2020/06/24 23:00,11.04,1.41
2020/06/24 23:00 to 2020/06/25 00:00,2.46,0.31
2020/06/25 00:00 to 2020/06/25 01:00,2.72,0.35
2020/06/25 01:00 to 2020/06/25 02:00,2.39,0.31
2020/06/25 02:00 to 2020/06/25 03:00,1.69,0.22
2020/06/25 03:00 to 2020/06/25 04:00,1.56,0.2
2020/06/25 04:00 to 2020/06/25 05:00,1.66,0.21
2020/06/25 05:00 to 2020/06/25 06:00,1.43,0.18
2020/06/25 06:00 to 2020/06/25 07:00,1.54,0.2
2020/06/25 07:00 to 2020/06/25 08:00,1.39,0.18
2020/06/25 08:00 to 2020/06/25 09:00,1.82,0.23
2020/06/25 09:00 to 2020/06/25 10:00,2.08,0.27
2020/06/25 10:00 to 2020/06/25 11:00,2.55,0.33
2020/06/25 11:00 to 2020/06/25 12:00,2.8,0.36
2020/06/25 12:00 to 2020/06/25 13:00,2.98,0.38
2020/06/25 13:00 to 2020/06/25 14:00,3.1,0.4
2020/06/25 14:00 to 2020/06/25 15:00,3.15,0.4
2020/06/25 15:00 to 2020/06/25 16:00,3.45,0.44
2020/06/25 16:00 to 2020/06/25 17:00,3.5,0.45
2020/06/25 17:00 to 2020/06/25 18:00,3.33,0.43
2020/06/25 18:00 to 2020/06/25 19:00,3.41,0.44
2020/06/25 19:00 to 2020/06/25 20:00,3.56,0.46
2020/06/25 20:00 to 2020/06/25 21:00,3.32,0.42
2020/06/25 21:00 to 2020/06/25 22:00,3.43,0.44
2020/06/25 22:00 to 2020/06/25 23:00,6.81,0.87
2020/06/25 23:00 to 2020/06/26 00:00,2.35,0.3
2020/06/26 00:00 to 2020/06/26 01:00,2.66,0.34
2020/06/26 01:00 to 2020/06/26 02:00,2.5,0.32
2020/06/26 02:00 to 2020/06/26 03:00,1.86,0.24
2020/06/26 03:00 to 2020/06/26 04:00,1.8,0.23
2020/06/26 04:00 to 2020/06/26 05:00,1.54,0.2
2020/06/26 05:00 to 2020/06/26 06:00,1.34,0.17
2020/06/26 06:00 to 2020/06/26 07:00,1.27,0.16
2020/06/26 07:00 to 2020/06/26 08:00,1.65,0.21
2020/06/26 08:00 to 2020/06/26 09:00,1.71,0.22
2020/06/26 09:00 to 2020/06/26 10:00,2.55,0.33
2020/06/26 10:00 to 2020/06/26 11:00,2.57,0.33
2020/06/26 11:00 to 2020/06/26 12:00,2.82,0.36
2020/06/26 12:00 to 2020/06/26 13:00,3,0.38
2020/06/26 13:00 to 2020/06/26 14:00,2.99,0.38
2020/06/26 14:00 to 2020/06/26 15:00,2.99,0.38
2020/06/26 15:00 to 2020/06/26 16:00,3,0.38
2020/06/26 16:00 to 2020/06/26 17:00,3.34,0.43
2020/06/26 17:00 to 2020/06/26 18:00,3.55,0.45
2020/06/26 18:00 to 2020/06/26 19:00,3.49,0.45
2020/06/26 19:00 to 2020/06/26 20:00,3.34,0.43
2020/06/26 20:00 to 2020/06/26 21:00,6.38,0.82
2020/06/26 21:00 to 2020/06/26 22:00,4.9,0.63
2020/06/26 22:00 to 2020/06/26 23:00,6.81,0.87
2020/06/26 23:00 to 2020/06/27 00:00,3.43,0.44
2020/06/27 00:00 to 2020/06/27 01:00,3.7,0.24
2020/06/27 01:00 to 2020/06/27 02:00,2.25,0.15
2020/06/27 02:00 to 2020/06/27 03:00,2.15,0.14
2020/06/27 03:00 to 2020/06/27 04:00,2.22,0.14
2020/06/27 04:00 to 2020/06/27 05:00,1.81,0.12
2020/06/27 05:00 to 2020/06/27 06:00,1.68,0.11
2020/06/27 06:00 to 2020/06/27 07:00,1.85,0.12
2020/06/27 07:00 to 2020/06/27 08:00,1.73,0.11
2020/06/27 08:00 to 2020/06/27 09:00,1.77,0.12
2020/06/27 09:00 to 2020/06/27 10:00,1.97,0.13
2020/06/27 10:00 to 2020/06/27 11:00,2.57,0.17
2020/06/27 11:00 to 2020/06/27 12:00,3,0.2
2020/06/27 12:00 to 2020/06/27 13:00,3.44,0.22
2020/06/27 13:00 to 2020/06/27 14:00,2.83,0.18
2020/06/27 14:00 to 2020/06/27 15:00,3.15,0.2
2020/06/27 15:00 to 2020/06/27 16:00,3.31,0.22
2020/06/27 16:00 to 2020/06/27 17:00,3.72,0.24
2020/06/27 17:00 to 2020/06/27 18:00,6.55,0.43
2020/06/27 18:00 to 2020/06/27 19:00,3.92,0.25
2020/06/27 19:00 to 2020/06/27 20:00,3.33,0.22
2020/06/27 20:00 to 2020/06/27 21:00,3.2,0.21
2020/06/27 21:00 to 2020/06/27 22:00,3.54,0.23
2020/06/27 22:00 to 2020/06/27 23:00,6.93,0.45
2020/06/27 23:00 to 2020/06/28 00:00,3.57,0.23
2020/06/28 00:00 to 2020/06/28 01:00,3.39,0.22
2020/06/28 01:00 to 2020/06/28 02:00,3.59,0.23
2020/06/28 02:00 to 2020/06/28 03:00,3.69,0.24
2020/06/28 03:00 to 2020/06/28 04:00,1.76,0.11
2020/06/28 04:00 to 2020/06/28 05:00,1.62,0.11
2020/06/28 05:00 to 2020/06/28 06:00,1.57,0.1
2020/06/28 06:00 to 2020/06/28 07:00,1.83,0.12
2020/06/28 07:00 to 2020/06/28 08:00,1.87,0.12
2020/06/28 08:00 to 2020/06/28 09:00,2.32,0.15
2020/06/28 09:00 to 2020/06/28 10:00,2.48,0.16
2020/06/28 10:00 to 2020/06/28 11:00,2.72,0.18
2020/06/28 11:00 to 2020/06/28 12:00,3.98,0.26
2020/06/28 12:00 to 2020/06/28 13:00,3.09,0.2
2020/06/28 13:00 to 2020/06/28 14:00,3.47,0.23
2020/06/28 14:00 to 2020/06/28 15:00,3.21,0.21
2020/06/28 15:00 to 2020/06/28 16:00,3.49,0.23
2020/06/28 16:00 to 2020/06/28 17:00,3.38,0.22
2020/06/28 17:00 to 2020/06/28 18:00,3.22,0.21
2020/06/28 18:00 to 2020/06/28 19:00,4.13,0.27
2020/06/28 19:00 to 2020/06/28 20:00,3.16,0.21
2020/06/28 20:00 to 2020/06/28 21:00,3.44,0.22
2020/06/28 21:00 to 2020/06/28 22:00,5.25,0.34
2020/06/28 22:00 to 2020/06/28 23:00,11.69,0.76
2020/06/28 23:00 to 2020/06/29 00:00,4.37,0.28
2020/06/29 00:00 to 2020/06/29 01:00,4.69,0.6
2020/06/29 01:00 to 2020/06/29 02:00,4.54,0.58
2020/06/29 02:00 to 2020/06/29 03:00,2.67,0.34
2020/06/29 03:00 to 2020/06/29 04:00,1.65,0.21
2020/06/29 04:00 to 2020/06/29 05:00,1.19,0.15
2020/06/29 05:00 to 2020/06/29 06:00,1.61,0.21
2020/06/29 06:00 to 2020/06/29 07:00,1.37,0.18
2020/06/29 07:00 to 2020/06/29 08:00,1.67,0.21
2020/06/29 08:00 to 2020/06/29 09:00,1.99,0.25
2020/06/29 09:00 to 2020/06/29 10:00,2.66,0.34
2020/06/29 10:00 to 2020/06/29 11:00,2.75,0.35
2020/06/29 11:00 to 2020/06/29 12:00,2.64,0.34
2020/06/29 12:00 to 2020/06/29 13:00,3.23,0.41
2020/06/29 13:00 to 2020/06/29 14:00,3.4,0.44
2020/06/29 14:00 to 2020/06/29 15:00,3.37,0.43
2020/06/29 15:00 to 2020/06/29 16:00,3.89,0.5
2020/06/29 16:00 to 2020/06/29 17:00,5.85,0.75
2020/06/29 17:00 to 2020/06/29 18:00,5.81,0.74
2020/06/29 18:00 to 2020/06/29 19:00,4.63,0.59
2020/06/29 19:00 to 2020/06/29 20:00,4.01,0.51
2020/06/29 20:00 to 2020/06/29 21:00,3.45,0.44
2020/06/29 21:00 to 2020/06/29 22:00,5.69,0.73
2020/06/29 22:00 to 2020/06/29 23:00,7.08,0.91
2020/06/29 23:00 to 2020/06/30 00:00,3.68,0.47
2020/06/30 00:00 to 2020/06/30 01:00,3.67,0.47
2020/06/30 01:00 to 2020/06/30 02:00,3.5,0.45
2020/06/30 02:00 to 2020/06/30 03:00,2.68,0.34
2020/06/30 03:00 to 2020/06/30 04:00,2.71,0.35
2020/06/30 04:00 to 2020/06/30 05:00,2.61,0.33
2020/06/30 05:00 to 2020/06/30 06:00,2.42,0.31
2020/06/30 06:00 to 2020/06/30 07:00,1.31,0.17
2020/06/30 07:00 to 2020/06/30 08:00,1.73,0.22
2020/06/30 08:00 to 2020/06/30 09:00,2.53,0.32
2020/06/30 09:00 to 2020/06/30 10:00,2.68,0.34
2020/06/30 10:00 to 2020/06/30 11:00,2.93,0.38
2020/06/30 11:00 to 2020/06/30 12:00,3,0.38
2020/06/30 12:00 to 2020/06/30 13:00,3.2,0.41
2020/06/30 13:00 to 2020/06/30 14:00,3.26,0.42
2020/06/30 14:00 to 2020/06/30 15:00,5.21,0.67
2020/06/30 15:00 to 2020/06/30 16:00,3.77,0.48
2020/06/30 16:00 to 2020/06/30 17:00,3.43,0.44
2020/06/30 17:00 to 2020/06/30 18:00,3.29,0.42
2020/06/30 18:00 to 2020/06/30 19:00,4.99,0.64
2020/06/30 19:00 to 2020/06/30 20:00,3.92,0.5
2020/06/30 20:00 to 2020/06/30 21:00,3.81,0.49
2020/06/30 21:00 to 2020/06/30 22:00,4.64,0.59
2020/06/30 22:00 to 2020/06/30 23:00,7.89,1.01
2020/06/30 23:00 to 2020/07/01 00:00,4.49,0.57
2020/07/01 00:00 to 2020/07/01 01:00,4.4,0.56
